iter	RMSE
0	70.10440544
1	63.0325276
2	60.20539329
3	57.09380937
4	55.75499542
5	54.76183334
6	54.20667724
7	53.40962814
8	52.81483995
9	52.12957282
10	51.33256804
11	50.83260604
12	50.30844207
13	49.61349638
14	48.70893428
15	47.97866975
16	47.67935316
17	46.9103689
18	46.40738124
19	45.89016243
20	45.41652605
21	44.95250365
22	44.63483998
23	43.8648608
24	43.25478734
25	43.11292237
26	42.673457
27	42.23869234
28	42.02310212
29	41.66331677
30	41.29627626
31	41.07442021
32	40.57394563
33	40.26194772
34	39.87320587
35	39.8528245
36	39.80720917
37	39.40787984
38	39.16520202
39	39.02889387
40	38.65217028
41	38.35421167
42	37.76697315
43	37.729093
44	37.22181709
45	37.16130475
46	36.97264803
47	36.6335959
48	36.5999035
49	35.91375714
50	35.5871334
51	35.41162663
52	35.2126087
53	34.83892702
54	34.70296418
55	34.58761627
56	34.35290898
57	34.19240514
58	33.78138642
59	33.75553918
60	33.6165715
61	33.47013727
62	33.44367787
63	33.3838934
64	32.94794636
65	32.93369393
66	32.79511511
67	32.73640709
68	32.44528393
69	32.20826714
70	32.16935221
71	32.14684248
72	31.69568011
73	31.35939849
74	31.28021961
75	31.26271878
76	31.24127183
77	31.17629067
78	30.93158779
79	30.92202295
80	30.64351777
81	30.48960966
82	30.34904621
83	30.23823543
84	30.19003092
85	30.0136301
86	29.95585774
87	29.59600358
88	29.51836135
89	29.3682983
90	29.24298742
91	29.005873
92	28.82484569
93	28.63920557
94	28.63148972
95	28.59313446
96	28.51109629
97	28.43256021
98	28.37591077
99	28.29784597
100	28.13828127
101	27.87440679
102	27.63518127
103	27.62538109
104	27.47302746
105	27.32628797
106	27.18475532
107	27.07812316
108	27.01196845
109	26.90079977
110	26.8936124
111	26.77755942
112	26.74217056
113	26.59282475
114	26.45324908
115	26.37007264
116	26.2261919
117	26.19740247
118	26.13295542
119	26.01843792
120	25.9692239
121	25.86652405
122	25.8147082
123	25.76523913
124	25.75199291
125	25.65769019
126	25.57933075
127	25.49145365
128	25.40349667
129	25.21724201
130	25.18912779
131	25.05376111
132	24.97427096
133	24.77689369
134	24.63898732
135	24.60186967
136	24.49114231
137	24.44056247
138	24.41796873
139	24.39107047
140	24.36219752
141	24.34079633
142	24.25054489
143	24.22823019
144	24.14522722
145	24.13512894
146	24.04170041
147	24.01848659
148	23.92729491
149	23.89508266
150	23.83953653
151	23.81496309
152	23.79676072
153	23.71756162
154	23.68229058
155	23.63525194
156	23.58271821
157	23.56480878
158	23.55152298
159	23.3840779
160	23.35174411
161	23.27611379
162	23.19064
163	23.13142289
164	22.97511429
165	22.9060306
166	22.81738298
167	22.79281069
168	22.74432938
169	22.68708011
170	22.60356495
171	22.52714416
172	22.50298242
173	22.45935871
174	22.43728243
175	22.39694939
176	22.34269242
177	22.30555974
178	22.2624213
179	22.19311642
180	22.07265879
181	22.0495141
182	21.96500909
183	21.90414107
184	21.78796069
185	21.72876894
186	21.64537335
187	21.63628586
188	21.53734618
189	21.45237483
190	21.28570175
191	21.24387514
192	21.19392292
193	21.1222463
194	21.11239683
195	21.06378418
196	21.04895941
197	20.98621764
198	20.92231334
199	20.86100421
