iter	Passed	Remaining
0	32	6429
1	71	7105
2	114	7538
3	157	7708
4	198	7742
5	242	7832
6	291	8034
7	340	8170
8	412	8752
9	474	9011
10	539	9272
11	600	9411
12	642	9237
13	683	9082
14	726	8963
15	771	8877
16	815	8780
17	863	8728
18	907	8646
19	957	8616
20	1003	8550
21	1043	8444
22	1083	8339
23	1131	8297
24	1180	8264
25	1224	8197
26	1268	8128
27	1309	8045
28	1355	7993
29	1398	7924
30	1441	7856
31	1488	7813
32	1531	7751
33	1572	7676
34	1613	7608
35	1655	7539
36	1697	7477
37	1738	7412
38	1783	7362
39	1825	7302
40	1872	7260
41	1912	7195
42	1953	7132
43	1995	7076
44	2036	7013
45	2078	6957
46	2120	6902
47	2161	6845
48	2202	6787
49	2242	6726
50	2283	6672
51	2326	6620
52	2368	6570
53	2410	6516
54	2453	6468
55	2495	6417
56	2536	6362
57	2577	6309
58	2617	6256
59	2659	6205
60	2701	6155
61	2743	6106
62	2783	6053
63	2826	6006
64	2870	5961
65	2912	5912
66	2954	5864
67	2994	5813
68	3034	5761
69	3076	5713
70	3116	5663
71	3158	5615
72	3201	5569
73	3241	5519
74	3286	5476
75	3325	5425
76	3366	5377
77	3407	5329
78	3447	5281
79	3490	5235
80	3532	5189
81	3574	5143
82	3615	5095
83	3657	5050
84	3698	5003
85	3739	4957
86	3780	4909
87	3819	4861
88	3865	4820
89	3902	4769
90	3943	4723
91	3983	4675
92	4027	4634
93	4067	4586
94	4106	4538
95	4147	4492
96	4189	4448
97	4225	4398
98	4268	4354
99	4309	4309
100	4348	4262
101	4390	4218
102	4430	4172
103	4475	4131
104	4515	4085
105	4555	4039
106	4594	3993
107	4649	3960
108	4689	3915
109	4730	3870
110	4770	3824
111	4810	3779
112	4874	3753
113	4914	3707
114	4956	3663
115	4997	3618
116	5041	3576
117	5079	3529
118	5120	3485
119	5159	3439
120	5202	3396
121	5251	3357
122	5296	3315
123	5347	3277
124	5406	3244
125	5462	3207
126	5519	3172
127	5582	3140
128	5628	3097
129	5673	3054
130	5720	3013
131	5765	2969
132	5808	2925
133	5855	2884
134	5896	2839
135	5938	2794
136	5979	2749
137	6020	2704
138	6062	2660
139	6103	2615
140	6143	2570
141	6186	2526
142	6226	2481
143	6271	2439
144	6316	2395
145	6353	2350
146	6392	2304
147	6434	2260
148	6474	2216
149	6516	2172
150	6557	2127
151	6598	2083
152	6640	2039
153	6682	1996
154	6723	1952
155	6766	1908
156	6809	1865
157	6856	1822
158	6895	1778
159	6936	1734
160	6980	1690
161	7020	1646
162	7062	1603
163	7107	1560
164	7147	1516
165	7187	1472
166	7229	1428
167	7268	1384
168	7311	1341
169	7351	1297
170	7389	1253
171	7430	1209
172	7470	1165
173	7510	1122
174	7550	1078
175	7590	1035
176	7630	991
177	7671	948
178	7711	904
179	7754	861
180	7797	818
181	7840	775
182	7881	732
183	7921	688
184	7962	645
185	8003	602
186	8045	559
187	8086	516
188	8127	473
189	8167	429
190	8208	386
191	8253	343
192	8294	300
193	8333	257
194	8374	214
195	8415	171
196	8457	128
197	8499	85
198	8540	42
199	8580	0
